                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4859,                  1.369,                 1.5591,                0.63728,                0.84615,                0.84365,                0.51009,                 1.3427,                 1.3355,                 1.6732,              0.0018693,              0.0018693,              0.0018693
                     36,                 1.4753,                 1.3643,                 1.5054,                 0.8111,                0.66087,                0.82841,                0.51852,                 1.3184,                 1.1692,                 1.7289,              0.0018654,              0.0018654,              0.0018654
                     37,                 1.4794,                  1.377,                  1.562,                0.92196,                0.76923,                0.89993,                0.52613,                 1.4375,                 1.1201,                 1.7507,              0.0018614,              0.0018614,              0.0018614
                     38,                 1.3853,                 1.2965,                  1.451,                0.87167,                0.78413,                0.88616,                 0.5634,                  1.279,                 1.2045,                 1.6888,              0.0018574,              0.0018574,              0.0018574
                     39,                 1.4339,                 1.3695,                 1.4989,                0.84247,                0.84615,                 0.9012,                0.56214,                 1.3335,                 1.2614,                 1.6958,              0.0018535,              0.0018535,              0.0018535
                     40,                 1.4169,                 1.3243,                 1.4717,                0.84464,                0.69231,                0.84644,                0.47295,                 1.3858,                 1.3497,                 1.7022,              0.0018495,              0.0018495,              0.0018495
                     41,                  1.465,                 1.3226,                 1.4671,                0.87681,                0.82165,                0.85118,                0.54997,                 1.2429,                 1.3202,                 1.6659,              0.0018456,              0.0018456,              0.0018456
                     42,                 1.4028,                 1.2705,                 1.4957,                0.88565,                0.80769,                0.85754,                 0.5325,                 1.2427,                 1.3312,                 1.6213,              0.0018416,              0.0018416,              0.0018416
                     43,                 1.4883,                 1.3345,                  1.507,                0.84682,                0.92308,                0.91319,                0.56425,                  1.312,                 1.1384,                 1.7099,              0.0018376,              0.0018376,              0.0018376
                     44,                 1.3687,                 1.3065,                 1.4558,                 0.8515,                0.80769,                0.83061,                0.50743,                 1.3591,                 1.3122,                 1.6933,              0.0018337,              0.0018337,              0.0018337
                     45,                 1.3795,                 1.2583,                 1.4463,                0.70456,                0.73077,                0.80312,                0.54165,                 1.2642,                 1.2238,                 1.6795,              0.0018297,              0.0018297,              0.0018297
                     46,                  1.369,                 1.2135,                 1.4459,                0.61903,                0.68759,                 0.7334,                0.46896,                 1.3825,                  1.626,                 1.7345,              0.0018258,              0.0018258,              0.0018258
